Review;SENTIMEN;SOURCE;DATE_REVIEW;MONTH;YEAR;TRIMESTER;CONCAT
Sekarang mau order malah sulit, gimana sihha padahal semua persyaratan sudah benar, tapi tetap aja ngak bisa??????;NEGATIF;BUKALAPAK;01/01/2020;January;2020;TRIMESTER1;2020-TRIMESTER1
aplikasinya lemot banget. Gabisa login padahal sudah coba pakai line, pakai password cuma loading, pakai nomer telpon kodenya gamasuk, maunya apa sih Tambahan: tiap kali mau ngasih ulasan selalu aja tulisannya halaman sedang dalam perbaikan. Capek tau nulis ulasan, masak mau ulang lagi;NEGATIF;BUKALAPAK;02/01/2020;January;2020;TRIMESTER1;2020-TRIMESTER1
KECEWAAAAA.....sudah 2 x 24 jam lebih... status belum berubah masih di kemas,padahal info dari pihak penjual barang sudah di kirim kan....;NEGATIF;BUKALAPAK;03/01/2020;January;2020;TRIMESTER1;2020-TRIMESTER1
"pakait sudah 5 hari statusnya masih di gudang, kagak gerak""..";NEGATIF;BUKALAPAK;04/01/2020;January;2020;TRIMESTER1;2020-TRIMESTER1
Apaan sih gratis ongkirnya gak bisa di pakai... Tipu-tipu.. Pas mau di check out gagal gagal... Hadeh kalo memang gak niat ngasih gratis ongkir yowes gak usa;NEGATIF;BUKALAPAK;05/01/2020;January;2020;TRIMESTER1;2020-TRIMESTER1
Tolong metode pembatalannya di percepat yc;NEGATIF;BUKALAPAK;06/01/2020;January;2020;TRIMESTER1;2020-TRIMESTER1
Daftar akun aja sulitnya minta ampun;NEGATIF;BUKALAPAK;07/01/2020;January;2020;TRIMESTER1;2020-TRIMESTER1
Aplikasi nya kurang jossss  Pas verifikasi nomer hp lama muncul kodenya Buat emosi??????????????;NEGATIF;BUKALAPAK;08/01/2020;January;2020;TRIMESTER1;2020-TRIMESTER1
Kenapa berat banget aplikasinya, kurang responsif ketika memilih item;NEGATIF;BUKALAPAK;13/01/2020;January;2020;TRIMESTER1;2020-TRIMESTER1
Aku gak ngerti kok uinstal terus sih;NEGATIF;BUKALAPAK;19/01/2020;January;2020;TRIMESTER1;2020-TRIMESTER1
Buruk sekali hari hari ini kok bermasalah mulu;NEGATIF;BUKALAPAK;20/01/2020;January;2020;TRIMESTER1;2020-TRIMESTER1
males ga bisa masuk server eror ,beralih deh ke lazada ...;NEGATIF;BUKALAPAK;24/01/2020;January;2020;TRIMESTER1;2020-TRIMESTER1
Tolong kembalikan pilihan jasa kirim seperti dulu..;NEGATIF;BUKALAPAK;27/01/2020;January;2020;TRIMESTER1;2020-TRIMESTER1
Pas chekout sering gagal;NEGATIF;BUKALAPAK;30/01/2020;January;2020;TRIMESTER1;2020-TRIMESTER1
sudah di update tapi fitur fontnya tetep ga berubah;NEGATIF;BUKALAPAK;31/01/2020;January;2020;TRIMESTER1;2020-TRIMESTER1
Bintang yang bicara....... Verikasi nomer tlp tak bisa,rugi data;NEGATIF;BUKALAPAK;01/02/2020;February;2020;TRIMESTER1;2020-TRIMESTER1
Belanja di sini bisa bayar di tempat kah ? Soal nya saya masih sekolah SMP gk pandai tranper uang;NEGATIF;BUKALAPAK;03/02/2020;February;2020;TRIMESTER1;2020-TRIMESTER1
Saya ada masalah tapi cs tidak bisa menjawab pertanyaan saya terkait dengan masalah saya, pokoknya jelek banget cs nya;NEGATIF;BUKALAPAK;03/02/2020;February;2020;TRIMESTER1;2020-TRIMESTER1
Ga bisa klaim gratis ongkir, tolong dong d perbaiki usaha sy jadi macet;NEGATIF;BUKALAPAK;08/02/2020;February;2020;TRIMESTER1;2020-TRIMESTER1
Payah kali loginnya Kenapa ni?;NEGATIF;BUKALAPAK;25/02/2020;February;2020;TRIMESTER1;2020-TRIMESTER1
Kenapa toko nya tanda seru semua cok?;NEGATIF;BUKALAPAK;27/02/2020;February;2020;TRIMESTER1;2020-TRIMESTER1
Aku suka aplikasi ini tapi ya.. kenapa waktu aku mau verifikasi no telp.ku kok gk ada sms dari sophee jadi sebbel deh??;NEGATIF;BUKALAPAK;01/03/2020;March;2020;TRIMESTER1;2020-TRIMESTER1
gk bisa di update;NEGATIF;BUKALAPAK;13/03/2020;March;2020;TRIMESTER1;2020-TRIMESTER1
Ada thr nya gak jawab cepet kalo ada saya instal;NEGATIF;BUKALAPAK;16/03/2020;March;2020;TRIMESTER1;2020-TRIMESTER1
mengapa saya tidak dapat menggunakan voucher gratis ongkir sekaligus dengan cashback? setiap ingin menggunakan gratis ongkir sekaligus cashback yang terpilih hanya salah tau doang tidak bisa di klik bersamaan.;NEGATIF;BUKALAPAK;17/03/2020;March;2020;TRIMESTER1;2020-TRIMESTER1
Barang sudah diterima,tapi aplikasinya menunjukan barang sedang dikirim???????????????gimna coba bikin pusing aja.Ribet banget kya nya . Tolong diperbaiki lagii kedepanya??????;NEGATIF;BUKALAPAK;18/03/2020;March;2020;TRIMESTER1;2020-TRIMESTER1
"Kecewa BANGET sama aplikasi ini kenapa pengembalian seribet itu sudah jelas"" penjual salah kirim barang MOHON SEGERA DI PERBAIKI BIKIN RUGI ORANG AJA";NEGATIF;BUKALAPAK;31/03/2020;March;2020;TRIMESTER1;2020-TRIMESTER1
Aplikasinya lemot banget padahal sinyal full;NEGATIF;BUKALAPAK;03/04/2020;April;2020;TRIMESTER1;2020-TRIMESTER1
Ka aku udh 2x nge instal ini kenapaa aplikasi nya ga muncul d hp sayah padahal sayah brulang kali nge instal ke aplikasi baru;NEGATIF;BUKALAPAK;08/04/2020;April;2020;TRIMESTER1;2020-TRIMESTER1
